user_id,total_orders,avg_days_between_orders,avg_basket_size,total_distinct_products,reordered_share,favorite_day_of_week,favorite_hour_of_day
1,10,17.6,5.9,18.0,0.6949152542372882,1,7
2,14,14.142857142857142,13.285714285714286,94.0,0.4946236559139785,1,10
8,3,20.0,16.0,35.0,0.2708333333333333,1,0
24,18,14.666666666666666,2.111111111111111,18.0,0.5263157894736842,0,8
41,5,20.6,12.6,46.0,0.2698412698412698,0,12
48,10,19.5,10.8,53.0,0.5092592592592593,5,9
50,67,5.3283582089552235,6.373134328358209,81.0,0.810304449648712,1,11
64,10,9.0,14.11111111111111,50.0,0.6062992125984252,6,10
65,14,11.857142857142858,9.214285714285714,77.0,0.40310077519379844,0,9
74,5,14.0,8.6,37.0,0.13953488372093023,1,8
82,19,10.578947368421053,6.894736842105263,27.0,0.7938931297709924,1,10
84,8,19.875,8.0,44.0,0.3125,0,13
88,7,15.0,4.0,4.0,0.0,1,13
96,16,10.75,8.0625,50.0,0.6124031007751938,4,9
102,6,20.833333333333332,9.666666666666666,33.0,0.43103448275862066,5,23
105,7,17.285714285714285,2.0,8.0,0.3333333333333333,5,15
111,7,17.142857142857142,6.142857142857143,38.0,0.11627906976744186,5,8
112,26,7.6923076923076925,5.576923076923077,61.0,0.5793103448275863,1,15
117,11,19.09090909090909,6.636363636363637,34.0,0.5342465753424658,3,14
119,3,8.333333333333334,7.0,15.0,0.2857142857142857,0,10
121,10,18.4,5.5,25.0,0.5454545454545454,1,16
160,12,13.416666666666666,18.333333333333332,97.0,0.5590909090909091,1,3
169,6,14.833333333333334,13.0,70.0,0.10256410256410256,4,17
174,27,10.851851851851851,6.222222222222222,79.0,0.5297619047619048,0,14
175,23,4.956521739130435,5.5,86.0,0.2892561983471074,3,8
176,6,19.833333333333332,6.666666666666667,33.0,0.175,1,16
193,5,15.6,6.4,30.0,0.0625,1,9
195,58,5.379310344827586,3.1206896551724137,35.0,0.8066298342541437,5,9
197,20,3.5,21.35,162.0,0.6206088992974239,6,15
198,5,13.2,9.8,34.0,0.30612244897959184,1,12
209,19,11.263157894736842,14.631578947368421,41.0,0.8525179856115108,1,14
